code,date,big1000,big400,retail,people
7936,20260918,64.14,67.86,11.89,671.0
7939,20260918,71.08,74.62,11.21,453.0
7942,20260918,77.4,82.52,8.17,2544.0
7943,20260918,57.24,73.6,6.71,555.0
7944,20260918,72.44,85.76,3.4,233.0
7945,20260918,58.2,71.75,10.66,331.0
7947,20260918,74.67,81.7,5.75,1148.0
7949,20260918,97.49,98.99,0.0,5.0
7952,20260918,100.0,100.0,0.0,1.0
8002,20260918,0.0,0.0,78.09,250.0
8009,20260918,0.0,0.0,58.64,627.0
8010,20260918,20.25,46.01,21.77,385.0
8011,20260918,25.0,31.17,51.28,60652.0
8012,20260918,93.02,93.02,5.54,478.0
8014,20260918,37.88,37.88,29.79,591.0
8015,20260918,0.0,29.54,21.55,111.0
8016,20260918,29.44,44.48,30.29,35918.0
8018,20260918,0.0,21.62,15.78,75.0
8019,20260918,90.33,93.81,2.21,98.0
8020,20260918,32.36,59.32,8.31,109.0
8021,20260918,37.25,48.21,39.91,84632.0
8022,20260918,70.18,70.18,6.36,57.0
8023,20260918,0.0,0.0,54.15,35.0
8024,20260918,18.86,29.89,46.44,22517.0
8026,20260918,0.0,0.0,99.98,61.0
8027,20260918,14.72,26.96,55.37,65869.0
8028,20260918,36.8,47.96,38.95,70410.0
8029,20260918,62.69,75.2,6.97,648.0
8030,20260918,0.0,0.0,99.99,16.0
8031,20260918,25.57,25.57,26.61,121.0
8032,20260918,74.21,75.96,18.52,23277.0
8033,20260918,17.81,25.95,58.75,79486.0
8034,20260918,8.72,17.89,53.16,21999.0
8035,20260918,17.91,44.2,26.63,213.0
8036,20260918,20.62,20.62,33.25,532.0
8037,20260918,0.0,0.0,22.11,23.0
8038,20260918,15.03,21.23,61.84,40145.0
8039,20260918,49.39,57.4,31.54,86627.0
8040,20260918,44.68,49.8,34.25,31802.0
8042,20260918,57.24,64.08,30.59,44314.0
8043,20260918,37.54,40.03,53.61,37743.0
8044,20260918,56.96,61.16,25.41,27407.0
8045,20260918,55.76,66.04,16.2,4300.0
8046,20260918,79.63,84.2,9.48,114800.0
8047,20260918,74.65,82.47,8.14,1274.0
8048,20260918,28.28,39.77,40.25,34918.0
8049,20260918,27.21,33.37,50.65,39307.0
8050,20260918,36.19,43.08,42.91,56805.0
8051,20260918,0.0,0.0,100.0,1.0
8052,20260918,0.0,0.0,99.98,11.0
8053,20260918,80.37,85.44,5.98,3692.0
8054,20260918,28.94,34.78,48.8,52117.0
8055,20260918,0.0,0.0,37.74,44.0
8056,20260918,53.98,60.65,18.08,11794.0
8057,20260918,67.07,67.07,11.11,84.0
8058,20260918,50.33,67.46,14.38,2570.0
8059,20260918,100.0,100.0,0.0,1.0
8060,20260918,34.07,49.68,27.58,272.0
8061,20260918,0.0,25.89,27.95,42.0
8062,20260918,0.0,0.0,99.99,11.0
8064,20260918,39.65,47.78,42.79,80326.0
8065,20260918,0.0,37.58,30.69,928.0
8066,20260918,20.04,38.06,47.65,38090.0
8067,20260918,56.73,81.35,12.84,6995.0
8068,20260918,58.72,62.05,27.72,8233.0
8069,20260918,66.53,74.72,15.23,105310.0
8070,20260918,69.93,73.81,18.7,36506.0
8071,20260918,22.86,32.94,50.98,35058.0
8072,20260918,57.87,60.18,30.94,12934.0
8073,20260918,0.0,0.0,99.99,10.0
8074,20260918,29.42,38.62,46.95,45681.0
8076,20260918,25.54,34.12,44.08,89285.0
8077,20260918,76.8,82.07,6.66,1063.0
8080,20260918,82.53,84.74,9.63,14344.0
8081,20260918,23.72,37.24,37.92,21662.0
8082,20260918,62.9,71.71,11.74,4212.0
8083,20260918,44.08,56.52,20.48,2721.0
8084,20260918,48.59,60.52,18.84,3481.0
8085,20260918,30.13,41.45,37.11,35915.0
8086,20260918,37.67,44.54,45.07,77547.0
8087,20260918,43.7,57.49,21.27,9848.0
8088,20260918,16.71,17.43,72.29,54204.0
8089,20260918,37.95,40.91,41.05,27212.0
8091,20260918,32.0,46.78,32.63,18733.0
8092,20260918,41.11,61.1,24.89,20416.0
8093,20260918,64.0,67.55,17.18,3233.0
8094,20260918,11.96,43.02,13.06,337.0
8095,20260918,18.1,51.29,15.89,123.0
8096,20260918,35.47,41.46,46.25,84997.0
8097,20260918,59.71,72.42,14.26,13334.0
8098,20260918,33.15,57.26,19.76,1443.0
8099,20260918,76.7,81.8,11.14,29247.0
