code,quarter,gross,operating,net
1541.TW,2026Q2,18.08,2.82,3.89
1558.TW,2026Q2,25.32,8.24,10.25
1560.TW,2026Q2,37.63,21.9,20.43
1563.TW,2026Q2,23.2,9.29,5.24
1568.TW,2026Q2,37.15,21.15,20.02
1582.TW,2026Q2,17.16,1.81,6.02
1583.TW,2026Q2,18.9,-3.35,3.55
1587.TW,2026Q2,17.44,1.59,-0.55
1590.TW,2026Q2,48.93,34.22,26.97
1597.TW,2026Q2,42.01,15.96,14.95
1598.TW,2026Q2,40.56,-2.4,3.03
1603.TW,2026Q2,12.94,10.23,7.67
1604.TW,2026Q2,18.99,5.58,7.73
1605.TW,2026Q2,7.66,1.4,13.78
1608.TW,2026Q2,12.75,10.42,46.03
1609.TW,2026Q2,18.72,12.94,11.0
1611.TW,2026Q2,34.49,6.09,25.78
1612.TW,2026Q2,16.46,12.77,20.86
1614.TW,2026Q2,19.11,3.42,6.56
1615.TW,2026Q2,23.12,18.84,16.97
1616.TW,2026Q2,9.44,5.81,3.65
1617.TW,2026Q2,8.24,2.12,1.66
1618.TW,2026Q2,32.79,28.47,24.37
1623.TW,2026Q2,18.01,15.34,11.94
1626.TW,2026Q2,16.74,-2.94,-4.97
1702.TW,2026Q2,24.29,1.29,1.29
1707.TW,2026Q2,71.45,15.96,13.92
1708.TW,2026Q2,29.74,16.49,14.9
1709.TW,2026Q2,26.66,19.24,11.96
1710.TW,2026Q2,3.71,-1.6,-2.93
1711.TW,2026Q2,23.24,3.55,3.67
1712.TW,2026Q2,31.5,8.25,6.47
1713.TW,2026Q2,9.84,-9.31,149.69
1714.TW,2026Q2,15.58,11.49,9.05
1717.TW,2026Q2,23.58,7.03,5.86
1720.TW,2026Q2,43.76,21.32,18.73
1721.TW,2026Q2,-3.81,-14.54,-14.29
1722.TW,2026Q2,13.62,4.8,6.2
1723.TW,2026Q2,23.55,14.62,14.48
1725.TW,2026Q2,4.77,2.32,3.96
1726.TW,2026Q2,27.77,13.07,11.47
1727.TW,2026Q2,17.85,8.94,7.32
1730.TW,2026Q2,50.78,15.89,13.78
1731.TW,2026Q2,62.13,14.44,14.73
1732.TW,2026Q2,41.73,8.08,7.12
1733.TW,2026Q2,33.72,13.31,11.94
1734.TW,2026Q2,45.4,11.96,9.35
1735.TW,2026Q2,19.08,4.91,3.08
1736.TW,2026Q2,57.41,7.5,3.96
1737.TW,2026Q2,39.26,12.66,11.17
1752.TW,2026Q2,36.11,13.75,7.84
1760.TW,2026Q2,51.25,14.07,8.81
1762.TW,2026Q2,39.96,17.24,19.83
1773.TW,2026Q2,37.07,23.46,19.76
1776.TW,2026Q2,22.8,8.83,8.04
1783.TW,2026Q2,69.22,27.97,32.03
1786.TW,2026Q2,68.27,12.02,13.59
1789.TW,2026Q2,26.62,-4.25,-1.42
1795.TW,2026Q2,52.22,24.59,6.93
1802.TW,2026Q2,21.44,10.45,8.44
1805.TW,2026Q2,35.52,8.33,7.48
1806.TW,2026Q2,20.64,-0.25,-1.5
1808.TW,2026Q2,26.4,22.07,18.03
1809.TW,2026Q2,20.35,1.01,-0.01
1810.TW,2026Q2,21.59,-10.35,49.81
1817.TW,2026Q2,38.38,15.77,16.59
1903.TW,2026Q2,64.19,-23.78,-52.11
1904.TW,2026Q2,20.57,6.98,7.73
1905.TW,2026Q2,2.99,-7.51,-6.69
1906.TW,2026Q2,9.62,2.77,2.1
1907.TW,2026Q2,14.07,0.15,2.19
1909.TW,2026Q2,10.86,0.96,0.99
2002.TW,2026Q2,5.78,1.81,0.56
2006.TW,2026Q2,16.53,12.1,10.02
2007.TW,2026Q2,-6.48,-10.79,-19.27
2008.TW,2026Q2,16.86,10.1,7.97
2009.TW,2026Q2,12.31,10.4,10.33
2010.TW,2026Q2,11.68,7.89,6.88
2012.TW,2026Q2,14.82,2.94,-1.05
2013.TW,2026Q2,5.06,3.18,2.99
2014.TW,2026Q2,3.05,1.16,0.98
2015.TW,2026Q2,12.77,9.45,9.81
2017.TW,2026Q2,3.27,-11.05,-12.05
2020.TW,2026Q2,23.5,15.97,13.25
2022.TW,2026Q2,6.76,-0.33,-0.86
2023.TW,2026Q2,9.51,1.29,-3.29
2024.TW,2026Q2,9.66,3.39,5.11
2025.TW,2026Q2,16.57,13.63,14.45
2027.TW,2026Q2,29.02,19.7,13.3
2028.TW,2026Q2,5.3,3.0,2.54
2029.TW,2026Q2,15.49,5.18,4.85
2030.TW,2026Q2,17.09,10.33,7.86
2031.TW,2026Q2,13.54,9.27,18.29
2032.TW,2026Q2,11.54,7.6,8.03
2033.TW,2026Q2,15.11,4.48,3.58
2034.TW,2026Q2,9.72,3.17,1.16
2038.TW,2026Q2,1.38,-1.03,-0.08
2049.TW,2026Q2,33.14,11.98,9.83
2059.TW,2026Q2,84.18,77.05,64.95
2062.TW,2026Q2,11.13,3.16,1.12
2069.TW,2026Q2,14.66,7.61,5.53
2072.TW,2026Q2,25.23,23.06,19.13
2101.TW,2026Q2,42.52,32.65,22.54
2102.TW,2026Q2,18.85,-99.66,-45.43
2103.TW,2026Q2,17.01,11.09,9.24
2104.TW,2026Q2,-11.46,-20.42,-23.18
2105.TW,2026Q2,24.84,9.96,7.0
2106.TW,2026Q2,19.73,3.0,1.71
2107.TW,2026Q2,39.07,26.32,46.24
2108.TW,2026Q2,30.4,16.6,13.98
2109.TW,2026Q2,21.94,9.27,10.94
2114.TW,2026Q2,39.12,31.46,29.65
2115.TW,2026Q2,19.32,8.15,7.3
2201.TW,2026Q2,32.76,9.68,5.85
2204.TW,2026Q2,14.3,5.12,9.73
2206.TW,2026Q2,20.96,8.71,8.13
2208.TW,2026Q2,-5.91,-9.53,3.63
2211.TW,2026Q2,25.73,20.01,20.58
2227.TW,2026Q2,8.34,-5.27,-11.62
2228.TW,2026Q2,21.74,7.76,5.71
2231.TW,2026Q2,35.92,1.25,-1.71
2233.TW,2026Q2,29.61,11.97,12.78
2236.TW,2026Q2,12.75,3.75,0.02
2237.TW,2026Q2,21.0,13.35,13.68
2239.TW,2026Q2,7.37,-6.94,-7.23
2241.TW,2026Q2,9.3,-8.26,-7.89
2243.TW,2026Q2,10.76,2.46,2.37
2247.TW,2026Q2,11.63,3.09,2.56
2248.TW,2026Q2,31.38,16.03,14.48
2250.TW,2026Q2,16.24,2.3,1.95
2254.TW,2026Q2,-65.23,-201.54,-215.54
2258.TW,2026Q2,11.49,-86.3,-87.35
2301.TW,2026Q2,24.71,12.8,11.34
2302.TW,2026Q2,35.58,14.17,20.01
2303.TW,2026Q2,30.93,20.21,44.96
2305.TW,2026Q2,45.67,17.3,25.72
2308.TW,2026Q2,36.27,17.22,14.89
2312.TW,2026Q2,6.88,2.82,1.99
2313.TW,2026Q2,18.25,9.84,7.54
2314.TW,2026Q2,9.51,-29.84,-21.67
2316.TW,2026Q2,1.09,-11.96,55.11
2317.TW,2026Q2,6.15,3.67,2.73
2321.TW,2026Q2,34.96,6.5,5.57
2323.TW,2026Q2,25.92,4.73,27.44
2324.TW,2026Q2,4.92,1.25,1.36
2327.TW,2026Q2,38.32,25.85,21.17
2328.TW,2026Q2,8.22,0.0,-1.65
2329.TW,2026Q2,13.03,5.98,6.22
2330.TW,2026Q2,67.03,59.29,53.22
2331.TW,2026Q2,8.21,0.32,2.73
2332.TW,2026Q2,24.66,1.37,-0.09
2337.TW,2026Q2,56.06,36.83,32.15
2338.TW,2026Q2,16.17,0.07,6.07
