code,quarter,gross,operating,net
3443.TW,2026Q2,24.1,13.81,12.63
3447.TW,2026Q2,9.3,-0.57,1.84
3450.TW,2026Q2,29.25,18.21,13.43
3481.TW,2026Q2,14.5,2.4,4.95
3494.TW,2026Q2,13.82,-4.75,-11.11
3501.TW,2026Q2,17.46,5.19,3.26
3504.TW,2026Q2,17.3,-1.57,0.78
3515.TW,2026Q2,17.11,8.04,7.02
3518.TW,2026Q2,-22.83,-108.2,242.45
3528.TW,2026Q2,12.5,8.53,5.45
3530.TW,2026Q2,22.28,6.76,7.34
3532.TW,2026Q2,4.0,-0.14,-0.29
3533.TW,2026Q2,47.48,25.46,23.31
3535.TW,2026Q2,45.31,14.12,16.73
3543.TW,2026Q2,10.55,-6.2,-3.83
3545.TW,2026Q2,22.62,-5.92,2.61
3550.TW,2026Q2,17.75,3.34,3.18
3557.TW,2026Q2,35.52,5.7,2.38
3563.TW,2026Q2,60.49,38.88,33.11
3576.TW,2026Q2,-22.63,-55.84,118.64
3583.TW,2026Q2,36.9,14.84,12.41
3588.TW,2026Q2,35.19,7.55,7.32
3591.TW,2026Q2,21.37,3.63,2.55
3592.TW,2026Q2,26.99,5.23,5.17
3593.TW,2026Q2,-8.12,-25.71,-26.75
3596.TW,2026Q2,15.17,6.57,5.37
3605.TW,2026Q2,25.16,6.38,5.0
3607.TW,2026Q2,13.79,-0.5,0.57
3617.TW,2026Q2,58.67,22.32,17.16
3622.TW,2026Q2,37.61,21.64,22.63
3645.TW,2026Q2,37.77,21.26,16.14
3652.TW,2026Q2,34.58,6.93,6.13
3653.TW,2026Q2,44.69,35.34,29.68
3661.TW,2026Q2,40.27,25.49,25.92
3665.TW,2026Q2,29.8,16.12,11.9
3669.TW,2026Q2,60.98,10.4,9.29
3673.TW,2026Q2,7.72,-1.41,3.28
3679.TW,2026Q2,29.88,17.76,12.64
3686.TW,2026Q2,0.26,-26.91,-21.58
3694.TW,2026Q2,14.36,4.14,4.71
3701.TW,2026Q2,11.98,-8.66,-9.07
3702.TW,2026Q2,4.45,2.64,1.88
3703.TW,2026Q2,14.37,5.41,3.57
3704.TW,2026Q2,23.83,5.46,4.29
3705.TW,2026Q2,44.43,15.35,12.51
3706.TW,2026Q2,9.17,3.96,4.91
3708.TW,2026Q2,19.41,-7.81,-16.15
3711.TW,2026Q2,20.55,10.59,9.89
3712.TW,2026Q2,16.87,8.79,-0.74
3714.TW,2026Q2,10.98,-5.92,9.66
3715.TW,2026Q2,14.96,1.58,-4.34
3716.TW,2026Q2,39.92,6.86,8.86
3717.TW,2026Q2,19.51,7.72,6.79
4104.TW,2026Q2,21.44,7.91,12.31
4106.TW,2026Q2,49.4,10.61,8.78
4108.TW,2026Q2,36.56,-102.38,-66.92
4119.TW,2026Q2,21.15,6.55,1.12
4133.TW,2026Q2,51.92,9.87,12.96
4137.TW,2026Q2,79.84,14.8,12.68
4142.TW,2026Q2,-92.16,-249.5,-250.49
4148.TW,2026Q2,28.97,10.14,7.18
4155.TW,2026Q2,30.84,13.63,13.74
4164.TW,2026Q2,24.36,7.37,4.27
4169.TW,2026Q2,45.91,-10.83,-9.84
4178.TW,2026Q2,31.04,-60.91,-47.81
4190.TW,2026Q2,64.04,-5.5,-5.83
4195.TW,2026Q2,25.88,-26.27,-8.48
4306.TW,2026Q2,17.63,6.16,7.87
4414.TW,2026Q2,16.09,-0.73,-3.9
4426.TW,2026Q2,-5.75,-26.28,-30.96
4438.TW,2026Q2,13.51,2.35,4.62
4439.TW,2026Q2,18.63,7.01,5.06
4440.TW,2026Q2,19.0,15.34,14.84
4441.TW,2026Q2,26.16,17.62,16.36
4526.TW,2026Q2,15.49,-9.76,-10.0
4532.TW,2026Q2,14.05,5.71,4.2
4536.TW,2026Q2,32.72,16.23,13.16
4540.TW,2026Q2,17.46,0.45,1.78
4545.TW,2026Q2,16.46,2.02,3.2
4551.TW,2026Q2,24.03,14.4,12.07
4552.TW,2026Q2,17.39,0.69,-0.53
4555.TW,2026Q2,31.68,4.96,6.16
4557.TW,2026Q2,24.25,4.49,1.9
4560.TW,2026Q2,33.08,14.21,10.04
4562.TW,2026Q2,43.34,-7.14,-1.08
4564.TW,2026Q2,-26.04,-45.73,-42.67
4566.TW,2026Q2,23.21,4.26,3.87
4569.TW,2026Q2,26.0,14.58,17.18
4571.TW,2026Q2,34.37,17.19,14.3
4572.TW,2026Q2,34.1,21.43,19.85
4576.TW,2026Q2,37.97,17.35,13.55
4581.TW,2026Q2,32.98,17.42,11.55
4582.TW,2026Q2,21.88,8.74,8.26
4583.TW,2026Q2,52.4,34.42,31.01
4585.TW,2026Q2,51.11,6.71,19.21
4588.TW,2026Q2,33.36,18.71,13.53
4590.TW,2026Q2,31.85,-4.61,19.79
4720.TW,2026Q2,20.14,1.27,0.88
4722.TW,2026Q2,18.21,7.95,6.83
4736.TW,2026Q2,45.51,19.54,75.57
4737.TW,2026Q2,33.81,-16.95,-15.88
4739.TW,2026Q2,16.72,12.56,9.34
4746.TW,2026Q2,40.97,10.89,-1.73
4755.TW,2026Q2,23.12,10.78,8.86
4763.TW,2026Q2,48.06,41.68,32.99
4764.TW,2026Q2,26.79,14.74,11.04
4766.TW,2026Q2,33.73,16.69,14.37
4770.TW,2026Q2,35.32,21.58,19.06
4771.TW,2026Q2,42.32,30.01,24.75
4807.TW,2026Q2,22.25,9.5,7.06
4904.TW,2026Q2,32.35,17.57,13.99
4906.TW,2026Q2,11.32,-4.77,-2.42
4912.TW,2026Q2,20.18,6.03,5.26
4915.TW,2026Q2,15.35,4.03,3.56
4916.TW,2026Q2,20.52,9.14,27.37
4919.TW,2026Q2,38.68,-2.79,-1.52
4927.TW,2026Q2,-9.09,-22.81,-25.46
4930.TW,2026Q2,8.16,-7.77,-6.38
4934.TW,2026Q2,-52.12,-223.18,-186.35
4935.TW,2026Q2,11.77,-5.19,2.54
4938.TW,2026Q2,4.43,1.36,1.77
4942.TW,2026Q2,18.92,4.58,4.06
4943.TW,2026Q2,-5.84,-24.06,-18.75
4949.TW,2026Q2,38.02,12.97,10.35
4952.TW,2026Q2,38.49,12.9,12.92
4956.TW,2026Q2,17.4,2.73,3.88
4958.TW,2026Q2,22.43,7.03,6.48
4960.TW,2026Q2,-0.47,-12.65,-8.73
4961.TW,2026Q2,27.29,7.97,9.03
4967.TW,2026Q2,40.18,35.94,28.29
4968.TW,2026Q2,33.68,3.27,4.84
4976.TW,2026Q2,-32.21,-50.57,-42.68
4977.TW,2026Q2,21.48,-6.8,27.98
4989.TW,2026Q2,0.34,-5.11,-4.5
4994.TW,2026Q2,67.56,10.27,7.56
4999.TW,2026Q2,9.63,-12.04,-11.05
5007.TW,2026Q2,28.2,19.77,17.21
5203.TW,2026Q2,84.95,8.67,11.83
5215.TW,2026Q2,20.19,4.85,7.13
5222.TW,2026Q2,49.99,16.7,13.95
5225.TW,2026Q2,13.14,2.61,3.02
5234.TW,2026Q2,43.0,20.09,18.36
5236.TW,2026Q2,60.6,33.2,30.11
5243.TW,2026Q2,25.11,11.49,7.96
5244.TW,2026Q2,24.65,-16.71,-13.15
5258.TW,2026Q2,29.9,3.44,2.02
5269.TW,2026Q2,50.57,23.41,62.23
5283.TW,2026Q2,33.28,7.26,7.61
5284.TW,2026Q2,39.84,24.01,18.87
5285.TW,2026Q2,18.11,9.77,6.89
5288.TW,2026Q2,23.57,14.42,12.39
5292.TW,2026Q2,25.67,18.58,16.69
5306.TW,2026Q2,42.21,22.73,17.9
5388.TW,2026Q2,12.91,3.13,2.08
5434.TW,2026Q2,13.54,7.4,7.31
5469.TW,2026Q2,15.61,7.35,5.03
5471.TW,2026Q2,41.64,10.2,11.81
5484.TW,2026Q2,15.63,-7.25,12.93
5515.TW,2026Q2,19.36,12.56,30.48
5519.TW,2026Q2,30.19,19.33,15.59
5521.TW,2026Q2,8.46,4.93,5.22
5522.TW,2026Q2,35.51,23.71,18.25
5525.TW,2026Q2,33.81,26.11,18.46
5531.TW,2026Q2,16.3,-132.52,-67.68
5533.TW,2026Q2,28.14,15.67,15.75
5534.TW,2026Q2,28.46,17.45,13.94
5538.TW,2026Q2,17.61,10.87,8.1
5546.TW,2026Q2,6.68,-5.92,-11.5
5607.TW,2026Q2,52.98,45.85,31.27
5608.TW,2026Q2,18.42,8.7,5.38
5706.TW,2026Q2,13.43,5.18,9.98
5871.TW,2026Q2,66.39,31.24,23.66
5906.TW,2026Q2,54.6,0.9,-0.49
5907.TW,2026Q2,85.07,-3.43,-27.99
6108.TW,2026Q2,3.5,-8.04,2.07
6112.TW,2026Q2,14.36,3.63,2.94
6115.TW,2026Q2,14.9,9.05,6.81
6116.TW,2026Q2,-3.24,-15.24,-0.75
6117.TW,2026Q2,34.1,14.33,10.19
6120.TW,2026Q2,3.8,-3.57,9.74
6128.TW,2026Q2,41.16,5.37,3.21
6133.TW,2026Q2,25.45,11.51,8.4
6136.TW,2026Q2,29.6,-5.49,-3.05
6139.TW,2026Q2,20.16,18.19,17.27
6141.TW,2026Q2,10.46,-8.79,-18.15
6142.TW,2026Q2,10.78,-7.31,-10.2
6152.TW,2026Q2,26.93,-1.62,4.76
6153.TW,2026Q2,-4.87,-24.16,-20.15
6155.TW,2026Q2,26.96,8.88,19.23
6164.TW,2026Q2,31.83,0.86,3.25
6165.TW,2026Q2,30.07,11.72,8.26
6166.TW,2026Q2,34.55,11.38,8.44
6168.TW,2026Q2,24.16,-0.39,3.77
6176.TW,2026Q2,21.91,10.12,5.59
6177.TW,2026Q2,42.89,35.66,28.72
6183.TW,2026Q2,45.94,29.53,26.63
6184.TW,2026Q2,53.87,30.2,26.58
6189.TW,2026Q2,9.24,4.79,4.02
6191.TW,2026Q2,15.87,7.6,5.96
6192.TW,2026Q2,33.57,17.09,13.23
6196.TW,2026Q2,13.5,8.65,8.17
6197.TW,2026Q2,35.89,22.77,19.6
6201.TW,2026Q2,23.47,10.85,8.99
6202.TW,2026Q2,42.36,11.26,12.4
6205.TW,2026Q2,37.46,9.18,14.2
6206.TW,2026Q2,45.49,29.65,24.7
6209.TW,2026Q2,28.06,13.37,11.37
6213.TW,2026Q2,17.33,10.99,7.71
6214.TW,2026Q2,18.57,4.26,6.57
6215.TW,2026Q2,27.23,11.1,9.51
6216.TW,2026Q2,42.77,-8.3,-4.75
6224.TW,2026Q2,33.69,7.11,7.41
6225.TW,2026Q2,45.2,-31.72,-9.33
6226.TW,2026Q2,30.61,-4.11,1.09
6230.TW,2026Q2,17.36,0.68,-3.35
6235.TW,2026Q2,24.54,5.83,2.48
6239.TW,2026Q2,20.65,14.16,11.79
6243.TW,2026Q2,50.8,-33.46,-27.39
6257.TW,2026Q2,33.02,24.09,22.19
6269.TW,2026Q2,1.43,-15.68,-12.39
6271.TW,2026Q2,29.62,16.16,15.33
6272.TW,2026Q2,20.92,0.93,0.59
6277.TW,2026Q2,61.35,15.5,11.56
6278.TW,2026Q2,11.56,5.98,5.54
6281.TW,2026Q2,20.12,2.85,2.32
6282.TW,2026Q2,22.73,2.16,1.69
6283.TW,2026Q2,7.86,-13.01,-9.79
6285.TW,2026Q2,13.32,5.0,4.03
6405.TW,2026Q2,-8839.11,-20769.76,2991.53
6409.TW,2026Q2,25.63,18.11,11.31
6412.TW,2026Q2,14.44,3.27,7.51
6414.TW,2026Q2,19.66,5.47,5.41
6415.TW,2026Q2,47.56,10.43,21.18
6416.TW,2026Q2,24.84,11.49,8.91
6426.TW,2026Q2,49.07,26.07,31.5
6431.TW,2026Q2,31.5,-42.11,-47.83
6438.TW,2026Q2,26.13,11.24,8.52
6442.TW,2026Q2,59.5,29.66,23.43
6443.TW,2026Q2,-24.03,-44.27,-45.53
6446.TW,2026Q2,91.51,43.77,39.07
6449.TW,2026Q2,35.46,17.33,14.7
6451.TW,2026Q2,14.71,-0.79,-2.01
6456.TW,2026Q2,4.33,-4.23,-4.73
6464.TW,2026Q2,50.42,27.73,18.57
6472.TW,2026Q2,39.16,14.11,6.36
6477.TW,2026Q2,32.63,19.69,5.22
6491.TW,2026Q2,53.15,28.18,25.67
6504.TW,2026Q2,13.4,3.02,0.03
6505.TW,2026Q2,15.25,13.74,11.94
6515.TW,2026Q2,40.47,24.63,21.08
6525.TW,2026Q2,27.66,21.2,16.46
6526.TW,2026Q2,51.89,14.98,13.9
6531.TW,2026Q2,47.71,29.44,29.74
6533.TW,2026Q2,99.87,-34.39,-26.2
6534.TW,2026Q2,85.73,51.84,43.04
6541.TW,2026Q2,-139.4,-217.2,-218.32
6550.TW,2026Q2,-223.14,-2451.81,-3171.3
6552.TW,2026Q2,-9.29,-22.98,-13.0
6558.TW,2026Q2,11.14,-15.94,-13.72
6573.TW,2026Q2,16.47,-13.49,-15.73
6579.TW,2026Q2,34.52,10.2,17.14
6581.TW,2026Q2,58.3,47.95,37.91
6582.TW,2026Q2,2.15,-20.31,-0.48
6585.TW,2026Q2,37.29,25.03,20.92
6589.TW,2026Q2,32.67,-65.95,-54.16
6591.TW,2026Q2,23.56,-6.26,5.34
6592.TW,2026Q2,61.64,19.84,16.35
6598.TW,2026Q2,67.55,10.08,11.48
6605.TW,2026Q2,31.88,16.7,13.34
6606.TW,2026Q2,43.38,29.62,18.41
6614.TW,2026Q2,11.8,1.8,1.72
6625.TW,2026Q2,23.96,17.52,12.44
6641.TW,2026Q2,31.4,-2.47,0.39
6645.TW,2026Q2,14.96,-27.7,-28.52
6655.TW,2026Q2,49.43,15.65,13.75
6657.TW,2026Q2,71.91,-5915.54,-5698.77
6658.TW,2026Q2,23.58,10.41,8.01
6666.TW,2026Q2,68.97,22.75,19.59
6668.TW,2026Q2,14.2,-16.53,-15.28
6669.TW,2026Q2,8.41,6.79,5.24
6670.TW,2026Q2,24.81,15.25,11.79
6671.TW,2026Q2,37.16,5.78,5.05
6672.TW,2026Q2,35.13,14.55,12.5
6674.TW,2026Q2,12.79,-56.93,-61.26
6689.TW,2026Q2,9.55,0.65,0.88
6691.TW,2026Q2,18.24,16.22,12.79
6695.TW,2026Q2,37.58,-36.11,-25.0
6698.TW,2026Q2,-5.33,-43.7,-40.43
6706.TW,2026Q2,-8.45,-84.96,-66.36
6715.TW,2026Q2,32.53,6.77,4.73
6719.TW,2026Q2,40.15,17.85,21.09
6722.TW,2026Q2,21.49,2.41,2.91
6742.TW,2026Q2,-12.27,-38.96,-34.06
6743.TW,2026Q2,17.58,4.18,0.01
6753.TW,2026Q2,39.19,34.2,26.94
6754.TW,2026Q2,22.72,2.95,3.27
6756.TW,2026Q2,44.35,-3.54,7.62
6757.TW,2026Q2,29.31,20.51,16.25
6768.TW,2026Q2,16.77,5.93,4.95
6770.TW,2026Q2,20.34,58.03,56.78
6771.TW,2026Q2,46.82,25.81,16.47
6776.TW,2026Q2,7.77,1.99,1.31
6781.TW,2026Q2,37.63,25.76,21.45
6782.TW,2026Q2,47.33,29.03,21.37
6789.TW,2026Q2,31.37,21.04,19.54
6790.TW,2026Q2,28.03,8.88,7.6
6792.TW,2026Q2,35.66,12.45,10.95
6794.TW,2026Q2,62.07,-510.7,-442.61
6796.TW,2026Q2,37.25,-9.36,-6.99
6799.TW,2026Q2,46.22,21.42,20.72
6805.TW,2026Q2,33.13,27.31,22.29
6807.TW,2026Q2,15.86,1.74,2.42
6830.TW,2026Q2,23.35,0.6,-1.09
6831.TW,2026Q2,20.0,8.86,5.9
6834.TW,2026Q2,26.0,10.85,14.09
6835.TW,2026Q2,16.13,-0.37,-1.29
6838.TW,2026Q2,71.93,-178.21,-171.06
6854.TW,2026Q2,-30.35,-192.43,-169.44
6861.TW,2026Q2,27.37,11.81,11.93
6862.TW,2026Q2,33.75,13.15,9.23
6863.TW,2026Q2,22.32,9.62,5.4
6869.TW,2026Q2,16.3,3.11,-6.17
6873.TW,2026Q2,24.63,3.64,-7.12
6885.TW,2026Q2,-17.17,-2494.17,-3003.24
6887.TW,2026Q2,28.21,10.12,6.51
6890.TW,2026Q2,15.13,7.73,6.24
6901.TW,2026Q2,100.0,97.65,98.51
6902.TW,2026Q2,89.34,19.35,19.19
6906.TW,2026Q2,84.98,8.98,16.24
6908.TW,2026Q2,13.83,0.3,-0.9
6909.TW,2026Q2,57.1,3.03,5.49
6914.TW,2026Q2,21.47,14.85,10.5
6916.TW,2026Q2,23.02,-1.65,-2.14
6918.TW,2026Q2,66.31,24.69,22.43
6919.TW,2026Q2,65.25,-14263.34,-9256.45
6921.TW,2026Q2,46.52,-56.17,-51.39
6923.TW,2026Q2,37.15,30.54,32.23
6924.TW,2026Q2,24.77,12.15,9.01
6928.TW,2026Q2,28.38,-5.44,-3.12
6931.TW,2026Q2,15.76,7.55,29.47
6933.TW,2026Q2,18.59,10.07,6.07
6934.TW,2026Q2,-165.88,-493.03,-481.65
6936.TW,2026Q2,37.38,13.97,11.17
6937.TW,2026Q2,41.71,14.67,12.76
6944.TW,2026Q2,27.82,23.2,16.81
6947.TW,2026Q2,37.92,26.39,15.88
6949.TW,2026Q2,-19.6,-1292.9,-1224.74
6951.TW,2026Q2,59.98,40.93,33.36
6952.TW,2026Q2,19.94,4.01,3.27
6955.TW,2026Q2,77.47,31.68,29.62
6957.TW,2026Q2,31.91,10.74,7.93
6958.TW,2026Q2,28.18,5.47,3.66
6962.TW,2026Q2,17.86,-1.55,3.36
6965.TW,2026Q2,11.53,0.68,-0.52
6969.TW,2026Q2,33.1,4.33,-1.29
6988.TW,2026Q2,29.48,-2.35,-2.65
6994.TW,2026Q2,13.02,4.6,-0.73
7610.TW,2026Q2,69.83,63.23,50.26
7631.TW,2026Q2,29.82,19.64,14.03
7689.TW,2026Q2,30.75,15.46,11.66
7705.TW,2026Q2,35.16,2.08,1.81
7711.TW,2026Q2,15.23,9.63,7.8
7721.TW,2026Q2,61.74,13.34,11.14
7722.TW,2026Q2,24.28,6.41,6.99
7730.TW,2026Q2,45.55,9.16,10.67
7732.TW,2026Q2,26.35,9.44,11.85
7736.TW,2026Q2,28.26,16.71,25.38
7740.TW,2026Q2,9.4,6.96,5.25
7749.TW,2026Q2,69.31,36.17,32.41
7750.TW,2026Q2,45.82,27.76,22.63
7760.TW,2026Q2,38.48,6.89,5.16
7765.TW,2026Q2,45.96,24.7,21.2
7768.TW,2026Q2,53.91,18.56,19.37
7769.TW,2026Q2,56.15,49.13,41.19
7780.TW,2026Q2,61.22,17.32,21.38
7786.TW,2026Q2,21.55,18.74,14.24
7788.TW,2026Q2,29.14,12.54,10.65
7791.TW,2026Q2,34.96,11.01,18.66
7795.TW,2026Q2,41.53,15.64,7.76
7799.TW,2026Q2,-224.52,-6811.54,-4868.6
7803.TW,2026Q2,44.96,-494.55,-479.39
7812.TW,2026Q2,50.86,-153.42,-142.37
7818.TW,2026Q2,27.94,4.09,4.41
7821.TW,2026Q2,21.26,3.42,3.14
7822.TW,2026Q2,59.42,37.56,31.08
7823.TW,2026Q2,84.83,-21.98,-14.76
7827.TW,2026Q2,6.5,-6219.5,-6201.76
7835.TW,2026Q2,30.09,-53.4,-51.01
7855.TW,2026Q2,12.03,2.86,3.29
8011.TW,2026Q2,20.38,7.02,5.17
8016.TW,2026Q2,33.23,14.18,14.98
8021.TW,2026Q2,39.58,24.71,17.44
8028.TW,2026Q2,37.74,25.73,21.78
8033.TW,2026Q2,36.73,-0.26,11.5
8039.TW,2026Q2,22.61,6.25,8.15
8045.TW,2026Q2,26.96,3.4,2.55
8046.TW,2026Q2,20.73,17.18,14.42
8070.TW,2026Q2,18.84,12.01,12.41
8072.TW,2026Q2,16.61,6.2,8.68
8081.TW,2026Q2,40.02,18.9,18.38
8101.TW,2026Q2,5.91,-35.5,-40.95
8103.TW,2026Q2,37.44,15.32,10.64
8104.TW,2026Q2,19.54,0.64,-2.6
8105.TW,2026Q2,9.28,1.2,6.16
8110.TW,2026Q2,9.57,2.74,33.81
8112.TW,2026Q2,3.8,3.16,1.97
8114.TW,2026Q2,42.51,18.27,14.66
8131.TW,2026Q2,19.6,15.72,14.02
8150.TW,2026Q2,15.93,10.25,9.75
8162.TW,2026Q2,20.26,6.94,7.37
8163.TW,2026Q2,17.2,1.68,0.69
8201.TW,2026Q2,27.94,-7.07,-2.69
8210.TW,2026Q2,32.73,24.82,18.55
8213.TW,2026Q2,11.01,3.54,2.46
8215.TW,2026Q2,13.49,-3.62,-2.94
8222.TW,2026Q2,26.4,14.84,11.65
8249.TW,2026Q2,16.0,6.94,3.3
8261.TW,2026Q2,36.04,23.89,22.06
8271.TW,2026Q2,50.42,34.73,27.84
8341.TW,2026Q2,47.14,29.81,20.31
8367.TW,2026Q2,27.85,16.56,9.41
8374.TW,2026Q2,23.99,7.93,5.81
8404.TW,2026Q2,32.91,9.85,1.11
8411.TW,2026Q2,8.17,1.24,0.88
8422.TW,2026Q2,37.16,27.67,20.09
8429.TW,2026Q2,14.58,-22.92,7.22
8438.TW,2026Q2,14.32,8.09,6.06
8442.TW,2026Q2,16.79,3.35,2.23
8443.TW,2026Q2,54.22,-15.95,-7.8
8454.TW,2026Q2,9.14,2.94,2.38
8462.TW,2026Q2,34.48,17.59,13.33
8463.TW,2026Q2,13.9,7.89,7.42
8464.TW,2026Q2,59.54,27.66,21.12
8466.TW,2026Q2,8.14,-8.14,-11.01
8467.TW,2026Q2,35.69,17.06,10.77
8473.TW,2026Q2,32.75,26.41,19.53
8476.TW,2026Q2,15.24,5.87,3.14
8478.TW,2026Q2,39.92,24.25,23.16
8481.TW,2026Q2,46.01,18.97,17.99
8482.TW,2026Q2,33.2,11.22,9.39
8487.TW,2026Q2,21.92,12.44,10.22
8488.TW,2026Q2,5.58,-0.24,0.05
8499.TW,2026Q2,40.96,14.34,12.64
8926.TW,2026Q2,9.79,8.18,9.21
8940.TW,2026Q2,49.15,9.96,7.73
8996.TW,2026Q2,27.8,17.58,14.08
9802.TW,2026Q2,14.72,5.03,3.99
9902.TW,2026Q2,24.94,-15.47,232.24
9904.TW,2026Q2,21.09,2.25,6.7
9905.TW,2026Q2,11.35,6.3,5.39
9906.TW,2026Q2,37.74,22.24,15.11
9907.TW,2026Q2,10.77,4.31,2.42
9908.TW,2026Q2,23.17,15.73,32.73
9910.TW,2026Q2,18.44,4.99,4.29
9911.TW,2026Q2,35.43,15.65,12.89
9912.TW,2026Q2,44.23,-10.48,-11.8
9914.TW,2026Q2,17.88,8.5,5.43
9917.TW,2026Q2,33.42,17.46,15.94
9918.TW,2026Q2,31.96,18.66,28.64
9919.TW,2026Q2,6.79,-19.51,-19.62
9921.TW,2026Q2,22.26,2.77,1.95
9924.TW,2026Q2,19.43,5.36,5.14
9925.TW,2026Q2,31.62,9.81,18.83
9926.TW,2026Q2,26.8,18.15,21.84
9927.TW,2026Q2,8.79,6.4,5.75
9928.TW,2026Q2,0.68,-18.94,-13.82
9929.TW,2026Q2,23.26,10.56,12.94
9930.TW,2026Q2,14.23,9.79,8.21
9931.TW,2026Q2,17.99,11.82,21.39
9933.TW,2026Q2,13.39,10.5,7.87
9934.TW,2026Q2,36.34,5.08,3.21
9935.TW,2026Q2,28.13,11.62,7.71
9937.TW,2026Q2,12.03,3.59,3.42
9938.TW,2026Q2,30.78,11.5,5.38
9939.TW,2026Q2,25.16,16.21,12.78
9940.TW,2026Q2,25.8,9.89,8.35
9941.TW,2026Q2,43.07,14.77,11.78
9942.TW,2026Q2,39.84,24.72,17.29
9943.TW,2026Q2,50.89,14.79,18.83
9944.TW,2026Q2,33.33,11.39,8.91
9945.TW,2026Q2,26.18,20.1,49.89
9946.TW,2026Q2,53.51,45.27,34.72
9955.TW,2026Q2,7.78,0.05,11.91
9958.TW,2026Q2,25.91,21.68,16.66
